Clade	Taxon	Eggshell_thickness	Egg_mass	Type_2021	Type_Norell	Type_Legendre
Lepidosaurs	Tarentola_delalandii	33.75	0.6832	Hard	Hard	Hard
Lepidosaurs	Trioceros_jacksonii	16.43	0.629863421	Soft	Soft	Soft
Choristoderes	Hyphalosaurus_baitagouensis	10	2.29593	Soft	Soft	Soft
Enantiornithes	Tantumoolithus_lenis	400	30.693852	Hard	Hard	Hard
Non-avian_dinosaurs	Orodromeus_makelai	850	365.904	Hard	Hard	Hard
Non-avian_dinosaurs	Maiasaura_peeblesorum	1000	394.24	Hard	Hard	Hard
Non-avian_dinosaurs	Hypacrosaurus_stebingeri	2400	3833.2	Hard	Hard	Hard
Non-avian_dinosaurs	Protoceratops_andrewsi	0	247.968	Soft	Soft	Soft
Pterosaurs	Darwinopterus	0	6.272	Soft	Soft	Soft
Pterosaurs	Beipiaopterus	0	47.26397312	Soft	Soft	Soft
Pterosaurs	Kunpengopterus_sp.	0	5.630156	Soft	Soft	Soft
Pterosaurs	IVPP_V13758	0	49.89208	Soft	Soft	Soft
Non-avian_dinosaurs	Romanian_titanosaur	1750	967.68	Hard	Hard	Hard
Non-avian_dinosaurs	Megaloolithus_jabalpurensis	1300	1536.64	Hard	Hard	Hard
Non-avian_dinosaurs	Megaloolithus_cylindricus	1690	1890	Hard	Hard	Hard
Non-avian_dinosaurs	Hypselosaurus	4430	2085.37	Hard	Hard	Hard
Non-avian_dinosaurs	Citipati_osmolskae	1005	452.2926464	Hard	Hard	Hard
Non-avian_dinosaurs	Oviraptor_philoceratops	1000	254.1	Hard	Hard	Hard
Non-avian_dinosaurs	Dendroolithidae_2	1550	1230.32	Hard	Hard	Hard
Enantiornithes	Romanian_enantiornithine	280	14	Hard	Hard	Hard
Enantiornithes	Neuquenornis_volans	180	18.634	Hard	Hard	Hard
Chelonians	Chelus_fimbriata	280	25.13875	Hard	Hard	Hard
Chelonians	Caretta_caretta	80	37.20087	Soft	Semi-rigid	Soft
Chelonians	Cuora_amboinensis	290	24.65792	Hard	Hard	Hard
Chelonians	Terrapene_carolina_triunguis	130	7.9224075	Semi-rigid	Semi-rigid	Hard
Chelonians	Mauremys_caspica	150	14.525	Hard	Hard	Hard
Chelonians	Kinosternon_subrubrum	270	4.3008	Hard	Hard	Hard
Chelonians	Chelonoidis_carbonarius	430	29.21184	Hard	Hard	Hard
Chelonians	Chelonoidis_denticulatus	535	93.17	Hard	Hard	Hard
Chelonians	Stigmochelys_pardalis	210	6.37875	Hard	Semi-rigid	Hard
Chelonians	Testudo_graeca	165	16.5165	Hard	Soft	Hard
Chelonians	Testudo_hermanni	200	13.37084	Hard	Hard	Hard
Chelonians	Testudo_marginata	90	16.632	Hard	Soft	Hard
Chelonians	Trionyx_triunguis	175	18.35008	Hard	Hard	Hard
Crocodilians	Melanosuchus_niger	800	152.46	Hard	Hard	Hard
Non-avian_dinosaurs	Himeoolithus_murakamii	150	10.08	Hard	Hard	Hard
